Listing ID,Title,Type,Seller,Price,Quantity,Image URL 1,Image URL 2,Image URL 3,Brand,Model,MPN,Frame Color,Frame Material,Style,Features,Lens Color,Lens Technology,Lens Material,Department,Lens Socket Width,Eye,Bridge Width,Bridge,Vertical,Temple Length,Country/Region of Manufacture,UPC
2.83838E+11,FLEXON 470 Shiny Natural Dark Red Eyeglasses 51mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/JNAAAOSw7tReiiK6/s-l1600.jpg,https://i.ebayimg.com/images/g/QWUAAOSwqNdeiiK8/s-l1600.jpg,https://i.ebayimg.com/images/g/LmwAAOSwOmBeiiK9/s-l1600.jpg,Flexon,FLEXON 470,470 Shiny Natural Dark Red,Red,"Metal, Plastic",Rectangular,,,,,Unisex Adults,51 mm,,18 mm,,27 mm,140 mm,China,Does not apply
2.83838E+11,FLEXON 470 Antique Gold Java Brown Eyeglasses 470-714 51mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/XDAAAOSwd0JeiiU-/s-l1600.jpg,https://i.ebayimg.com/images/g/2jIAAOSwGVVeiiVA/s-l1600.jpg,https://i.ebayimg.com/images/g/XWMAAOSwhQheiiVC/s-l1600.jpg,Flexon,FLEXON 470,470 Antique Gold Java Brown,Brown,"Metal, Plastic",Rectangular,,,,,Unisex Adults,51 mm,,18 mm,,27 mm,140 mm,China,Does not apply
2.74329E+11,FLEXON 1106 Cocoa Eyeglasses 45mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/fDIAAOSwqjJeiioo/s-l1600.jpg,https://i.ebayimg.com/images/g/7~UAAOSwMuheiiop/s-l1600.jpg,https://i.ebayimg.com/images/g/Al0AAOSwGIZeiior/s-l1600.jpg,Flexon,FLEXON 1106,1106 Cocoa,Brown,Metal,Oval,,,,,Unisex Adults,45 mm,,14 mm,,28 mm,135 mm,China,Does not apply
2.74329E+11,FLEXON 182 Tortoise Antique Gold Eyeglasses TORT ANTGEP 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/QWMAAOSwvXNeii4X/s-l1600.jpg,https://i.ebayimg.com/images/g/yt4AAOSws6Reii4Z/s-l1600.jpg,https://i.ebayimg.com/images/g/1AMAAOSwVWFeii4a/s-l1600.jpg,Flexon,FLEXON 182,182 TORT ANTGEP,Tortoise,Metal,Oval,,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.83838E+11,FLEXON 182 Cashmere Brown Gold Eyeglasses CSHBRNGEP 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/I5cAAOSwGfVeii7F/s-l1600.jpg,https://i.ebayimg.com/images/g/8E8AAOSw8nFeii7G/s-l1600.jpg,https://i.ebayimg.com/images/g/SKcAAOSwvGxeii7H/s-l1600.jpg,Flexon,FLEXON 182,182 CSHBRNGEP,Brown,Metal,Rectangular,,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.83838E+11,FLEXON 182 Havana Mocha Eyeglasses HVMOCHA 47mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/EHUAAOSwMQ5eii9c/s-l1600.jpg,https://i.ebayimg.com/images/g/6YYAAOSwvFteii9d/s-l1600.jpg,https://i.ebayimg.com/images/g/08QAAOSwpfBeii9f/s-l1600.jpg,Flexon,FLEXON 182,182 HVMOCHA,Brown,Metal,Rectangular,,,,,Unisex Adults,47 mm,,20 mm,,31 mm,135 mm,China,Does not apply
2.83838E+11,FLEXON 471 Antique Purple Eyeglasses 471-540 52mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/VyoAAOSw1ZJeijXD/s-l1600.jpg,https://i.ebayimg.com/images/g/XoIAAOSwFhxeijXE/s-l1600.jpg,https://i.ebayimg.com/images/g/g98AAOSwwcJeijXG/s-l1600.jpg,Flexon,FLEXON 471,471-540 Antique Purple,Purple,Metal,Rectangular,,,,,Unisex Adults,52 mm,,15 mm,,29 mm,135 mm,China,Does not apply
2.83838E+11,FLEXON 471 Violet Haze Eyeglasses 471-506 52mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/8~MAAOSwQJ1eijZz/s-l1600.jpg,https://i.ebayimg.com/images/g/FDwAAOSw2aJeijZ1/s-l1600.jpg,https://i.ebayimg.com/images/g/EhYAAOSwuSxeijZ2/s-l1600.jpg,Flexon,FLEXON 471,471-506 Violet Haze,Purple,Metal,Rectangular,Half Rim,,,,Unisex Adults,52 mm,,15 mm,,29 mm,135 mm,China,Does not apply
2.83838E+11,FLEXON 471 Satin Blush Eyeglasses 471-608 52mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/H7EAAOSwcMNeijce/s-l1600.jpg,https://i.ebayimg.com/images/g/s2sAAOSwNIheijcf/s-l1600.jpg,https://i.ebayimg.com/images/g/vWkAAOSwoQleijch/s-l1600.jpg,Flexon,FLEXON 471,471-608,Brown,Metal,Rectangular,Half Rim,,,,Unisex Adults,52 mm,,15 mm,,29 mm,135 mm,China,Does not apply
2.74329E+11,FLEXON 2204 Antique Light Gold Eyeglasses LGHTGEP 46mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/TTQAAOSw7mheijza/s-l1600.jpg,https://i.ebayimg.com/images/g/oKAAAOSw9hteijzc/s-l1600.jpg,https://i.ebayimg.com/images/g/IUIAAOSw~wReijze/s-l1600.jpg,Flexon,FLEXON 2204,2204 LGHTGEP,Gold,Metal,Oval,,,,,Unisex Adults,46 mm,,19 mm,,30 mm,140 mm,China,Does not apply
